drug_id,interaction_type,interacts_with,severity,description_en,management_en
1002,food,High fat meal,moderate,High fat meals increase drug exposure.,
1007,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1010,food,Alcohol,moderate,Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.,Avoid alcohol.
1011,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of methoxyflurane.,Avoid alcohol.
1015,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
1015,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1016,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
1018,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1023,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by thalidomide.,Avoid alcohol.
1024,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
1025,food,Fluids / Water,moderate,Take with a full glass of water.,
1026,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
1027,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1027,food,Fluids / Water,moderate,Take with a full glass of water.,
1028,food,Fluids / Water,moderate,Take with a full glass of water.,
1030,food,Alcohol,moderate,Avoid alcohol. Alcohol increases the systemic exposure to the drug.,Avoid alcohol.
1032,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1039,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1040,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
1040,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1043,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1046,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may reduce the effects of melatonin.,Avoid alcohol.
1047,food,Antacids,moderate,"Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours.","Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours."
1048,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. The risk of hypoglycemia is increased when alcohol is ingested.,Avoid excessive or chronic alcohol consumption.
1049,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1049,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1050,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase the sedation caused by promethazine.,Avoid alcohol.
1056,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1057,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.,Avoid grapefruit products.
1058,food,Fluids / Water,moderate,Take with a full glass of water.,
1061,food,Fluids / Water,moderate,Take with plain water. Only mix vigabatrin oral solution powder with plain water.,
1062,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1069,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1069,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1069,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1069,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1069,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1069,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1081,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and, therefore, may increase pimozide serum levels.",Avoid grapefruit products.
1090,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1090,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1090,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1090,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1090,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1090,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1090,food,Calcium,minor,Administer calcium supplement. This drug decreases calcium levels.,Administer calcium supplement.
1095,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1096,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit down-regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. Avoid grapefruit products while on this medication.",Avoid grapefruit products.
1096,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
1099,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of amiodarone.",Avoid grapefruit products.
1101,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1105,food,Alcohol,moderate,"Avoid alcohol. Ingesting alcohol may precipitate a disulfiram-like reaction (flushing, nausea), or hypoglycemia.",Avoid alcohol.
1114,food,Fluids / Water,moderate,Take with a full glass of water.,
1114,food,Antacids,moderate,Take separate from antacids. Take at least 2 hours before or after antacids. The bioavailability of this medication is significantly reduced when administered with aluminum or magnesium containing antacids.,
1114,food,Calcium,moderate,Take at least 2 hours before or after calcium supplements.,
1123,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1130,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1132,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1132,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1137,food,Alcohol,moderate,Avoid alcohol. Co-administration with alcohol may result in neuropsychiatric adverse effects and potentiation of CNS depressant effects.,Avoid alcohol.
1146,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1147,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1147,food,High fat meal,moderate,A high fat meal will increase absorption.,
1148,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1148,food,Calcium,moderate,"Calcium, iron, and aluminum containing products taken up to 2 hours before and 6 hours after administration can decrease drug concentrations.",
1148,food,Iron,moderate,"Calcium, iron, and aluminum containing products taken up to 2 hours before and 6 hours after administration can decrease drug concentrations.",
1149,food,Alcohol,moderate,"Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant effects of procarbazine and may precipitate a disulfiram-like-reaction (nausea, flushing).",Avoid alcohol.
1152,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption.,Avoid excessive or chronic alcohol consumption.
1154,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1155,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1155,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1156,food,Alcohol,moderate,Avoid alcohol. The combined use of alcohol with psychotropic medications should be avoided.,Avoid alcohol.
1157,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1162,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ifosfamide to its active metabolite, therefore reducing its efficacy.",Exercise caution with grapefruit products.
1162,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may worsen nausea and vomiting caused by ifosfamide.,Avoid alcohol.
1163,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1171,food,Fluids / Water,moderate,Take with a full glass of water.,
1173,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol has unpredictable effects on the pharmacokinetics of oxymorphone. Alcohol may also potentiate the CNS depressant effects of oxymorphone.,Avoid alcohol.
1177,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
1178,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
1179,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant actions of zopiclone.,Avoid alcohol.
1179,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of zopiclone, increasing its sedative effects.",Avoid grapefruit products.
1181,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1184,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1194,food,Alcohol,moderate,"Avoid alcohol. Fomepizole reduces the metabolism of alcohol by alcohol dehydrogenase, and alcohol also reduces fomepizole metabolism and elimination.",Avoid alcohol.
1196,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1201,food,High fat meal,major,"Fatty meals may increase the systemic AUC of rifaximin, but do not impact Cmax.","Fatty meals may increase the systemic AUC of rifaximin, but do not impact Cmax."
1202,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1204,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Ingesting a large amount of alcohol may reduce aminophylline clearance, therefore increasing its serum concentration.",Avoid excessive or chronic alcohol consumption.
1204,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of aminophylline.",Exercise caution with grapefruit products.
1204,food,Caffeine,minor,"Limit caffeine intake. Excessive caffeine intake with aminophylline may exacerbate caffiene-like side effects such as nausea, nervousness, irritability, insomnia and tremors.",Limit caffeine intake.
1205,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1206,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1206,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1206,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1206,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1206,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1206,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1210,food,Echinacea,moderate,"Avoid echinacea. Co-administration may decrease the effectiveness of immunosuppressants, and echinacea may induce CYP3A4 increasing paclitaxel metabolism.",Avoid echinacea.
1210,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of paclitaxel.",Exercise caution with grapefruit products.
1211,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1211,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1213,food,Grapefruit,moderate,Avoid grapefruit products. Co-administration with grapefruit-containing products inhibits the metabolism of saquinavir.,Avoid grapefruit products.
1214,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1215,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1216,food,Iron,moderate,Iron salts may reduce levodopa absorption.,
1219,food,Alcohol,moderate,Avoid alcohol. Alcohol may increase CNS effects.,Avoid alcohol.
1219,food,Fluids / Water,moderate,Drink plenty of fluids. Drink water to avoid dehydration while taking aripiprazole.,Drink plenty of fluids.
1220,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1221,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1221,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1221,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1221,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1221,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1221,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1223,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1223,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1225,food,Alcohol,moderate,Avoid alcohol. Alcohol can potentiate hypotension and dizziness when taken with this drug.,Avoid alcohol.
1227,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may potentiate the CNS depressant effects of alimemazine/trimeprazine.,Avoid alcohol.
1228,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1228,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1229,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of docetaxel.",Avoid grapefruit products.
1235,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of dasatinib, increasing its serum levels.",Avoid grapefruit products.
1235,food,High fat meal,moderate,High fat meals may increase the AUC of dasatinib by to 14%.,
1236,food,Antacids,moderate,Avoid antacids. Antacids like sodium bicarbonate alkalinize the urine,Avoid antacids.
1236,food,Vitamin C-rich foods,minor,"Limit foods and supplements high in vitamin C. Vitamin C acidifies the urine and, therefore, may increase lisdexamfetamine elimination.",Limit foods and supplements high in vitamin C.
1239,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of lapatinib, increasing its serum levels.",Avoid grapefruit products.
1247,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1248,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of sunitinib.,Avoid grapefruit products.
1253,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Varenicline may increase the effects of alcohol therefore, reduce consumption of alcohol when starting varenicline.",Avoid excessive or chronic alcohol consumption.
1258,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the risk of hypoglycemia.,Avoid alcohol.
1272,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1274,food,Fluids / Water,moderate,Take with a full glass of water.,
1275,food,Milk / Dairy,moderate,Avoid milk and dairy products. Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.,Avoid milk and dairy products.
1275,food,Calcium,moderate,Dairy products contain cations such as calcium which may interfere with the absorption of rolitetracycline.,
1276,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1278,food,Alcohol,moderate,Avoid alcohol. Alcohol may impair blood glucose control.,Avoid alcohol.
1279,food,Alcohol,moderate,Avoid alcohol. Alcohol may impair blood glucose control.,Avoid alcohol.
1280,food,Alcohol,moderate,Avoid alcohol. Drug impairs alcohol metabolism.,Avoid alcohol.
1281,food,Alcohol,moderate,"Avoid alcohol. Acute alcohol consumption may increase phenytoin serum concentration, but chronic alcohol use may reduce phenytoin serum concentration.",Avoid alcohol.
1285,food,Alcohol,moderate,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,Avoid alcohol.
1287,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol with cefamandole may precipitate a disulfiram like reaction due to elevated levels of acetaldehyde in the blood.,Avoid alcohol.
1290,food,Alcohol,moderate,"Avoid alcohol. Ingesting alcohol with cefoperazone may precipitate a disulfuram like reaction including symptoms such as flushing, tachycardia, sweating, and headache.",Avoid alcohol.
1291,food,Alcohol,moderate,Avoid alcohol. Alcohol can cause a disulfiram effect.,Avoid alcohol.
1306,food,Potassium-containing products,moderate,Avoid potassium-containing products.,Avoid potassium-containing products.
1308,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of amobarbital.,Avoid alcohol.
1321,food,Alcohol,moderate,"Tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.",
1326,food,Calcium,moderate,"When using magnesium to treat calcium oxalate nephrolithiasis, magnesium oxide should be taken with food.",
1329,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1329,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1329,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1329,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1329,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1329,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1335,food,Fluids / Water,moderate,Take with a full glass of water.,
1338,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods.,Do not take with bran and high fiber foods.
1340,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.,Avoid excessive or chronic alcohol consumption.
1357,food,Vitamin K-rich foods,minor,"Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation. Foods containing vitamin K include spinach, kale, and swiss chard.",Ensure consistent Vitamin K intake.
1357,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1357,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1357,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1357,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1357,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1357,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
1371,food,Fluids / Water,major,Take with fluids. Do not take with carbonated fluids.,Do not take with carbonated fluids.
1376,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1390,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1431,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1437,food,Alcohol,moderate,Avoid alcohol. Alcohol can enhance the CNS depressant effects of this drug.,Avoid alcohol.
1475,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1475,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1475,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1482,food,Alcohol,moderate,Avoid alcohol. Alcohol can enhance the CNS depressant effects of this drug.,Avoid alcohol.
1484,food,Alcohol,moderate,"Avoid alcohol. Alcohol can increase CNS depressant effects, such as fatal respiratory or cardiac depression.",Avoid alcohol.
1489,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of bromazepam.,Avoid alcohol.
1494,food,Alcohol,moderate,"Avoid alcohol. Ingesting alcohol may cause a disulfiram-like-reaction (flushing, dizziness, tachycardia).",Avoid alcohol.
1498,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1498,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1498,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1511,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1514,food,Iron,moderate,Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Avoid iron and calcium containing products as well as antacids.,Avoid iron supplements.
1514,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit may delay the absorption of this medicaiton.,Avoid grapefruit products.
1514,food,Antacids,moderate,Avoid iron and calcium containing products as well as antacids.,Avoid iron and calcium containing products as well as antacids.
1514,food,Calcium,moderate,Avoid iron and calcium containing products as well as antacids. Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex.,Avoid iron and calcium containing products as well as antacids.
1517,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1517,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1517,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1518,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
1518,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1518,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1519,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the drowsiness and CNS depression caused by quazepam.,Avoid alcohol.
1520,food,Fluids / Water,moderate,Take with a full glass of water.,
1520,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the metabolism of everolimus through the CYP3A4 pathway and, therefore, may increase serum levels of everolimus.",Avoid grapefruit products.
1522,food,Iron,moderate,Many different products contain iron Taking iron with food may reduce gastric irritation.,
1523,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
1523,food,High fiber foods / Bran,major,Do not take with bran and high fiber foods.,Do not take with bran and high fiber foods.
1524,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1524,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1525,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1525,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
1529,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1531,food,Antacids,moderate,Take separate from antacids.,
1537,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1540,food,Milk / Dairy,moderate,Take with a meal or glass of milk.,
1541,food,Alcohol,moderate,Avoid alcohol. The use of alcohol with amyl nitrite may worsen hypotension and has the potential to cause cardiovascular collapse.,Avoid alcohol.
1542,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1543,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1546,food,Alcohol,moderate,"Avoid alcohol. Severe CNS depression, which can be caused by alcohol, is a contraindication for molindone hydrochloride therapy.",Avoid alcohol.
1547,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1549,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1550,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1551,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
1552,food,Alcohol,moderate,Avoid alcohol. Acute alcohol intoxication is a contraindication for zuclopenthixol therapy.,Avoid alcohol.
2513,food,Antacids,moderate,Take separate from antacids. Take at least 1 hour before or 4-6 hours after aluminum-containing antacids.,
2964,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may reduce the absorption of FAD.,Avoid alcohol.
3062,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may reduce the absorption of FMN.,Avoid alcohol.
4298,food,Grapefruit,minor,"Exercise caution with grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of thiotepa, which may increase its serum concentration.",Exercise caution with grapefruit products.
4302,food,Fluids / Water,moderate,Take with a full glass of water.,
4302,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
4302,food,Milk / Dairy,moderate,Avoid milk and dairy products.,Avoid milk and dairy products.
4386,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4386,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4386,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4386,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4386,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4386,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4386,food,Vitamin K-rich foods,minor,Ensure consistent Vitamin K intake.,Ensure consistent Vitamin K intake.
4553,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
4553,food,Caffeine,minor,Limit caffeine intake.,Limit caffeine intake.
4554,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
4556,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
4558,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
4559,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
4561,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by tetrabenazine.,Avoid alcohol.
4562,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of ixabepilone, which may increase its serum concentration.",Avoid grapefruit products.
4563,food,Grapefruit,moderate,Avoid grapefruit products. Grapefruit juice may reduce the absorption of celiprolol.,Avoid grapefruit products.
4571,food,High fat meal,moderate,A high fat meal decreases Cmax and AUC in a clinically insignificant way.,
4572,food,Grapefruit,moderate,Avoid grapefruit products. Co-administration with grapefruit may increase drug concentrations by 3-fold.,Avoid grapefruit products.
4578,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
4585,food,Grapefruit,moderate,"Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of nilotinib, causing increased serum levels of nilotinib.",Avoid grapefruit products.
4613,food,Alcohol,moderate,"Avoid excessive or chronic alcohol consumption. Milnacipran may worsen liver disease, which is potentially caused by excessive alcohol use.",Avoid excessive or chronic alcohol consumption.
4615,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4615,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4615,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4615,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4615,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4615,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4623,food,Grapefruit,moderate,Avoid grapefruit products.,Avoid grapefruit products.
4623,food,Alcohol,moderate,Avoid alcohol. Ingesting alcohol may increase the CNS depressant and hypotensive effects of flibanserin.,Avoid alcohol.
4637,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4637,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4637,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4637,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4637,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4637,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4643,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4643,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4643,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4643,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4643,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4643,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
4653,food,High fat meal,moderate,"High fat meals may delay the Tmax of iloperidone and its metabolites P88, P95 by 1,2, and 6 hours respectively, without significantly changing the Cmax or AUC.",
4655,food,Alcohol,moderate,Avoid excessive or chronic alcohol consumption. Lofexidine may potentiate the CNS depressant effects of alcohol.,Avoid excessive or chronic alcohol consumption.
4767,food,Calcium,moderate,"If dietary intake is inadequate, patients should receive supplemental calcium and vitamin D.",
4780,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
