Nutrient,Unit,Gender,Age Group,Goal,Activity Factor,Recommended Amount (per day)
Vitamin B6,mg,Nam,19–30,Giữ cân,1.725,2.59
Vitamin B6,mg,Nam,19–30,Giữ cân,1.9,2.85
Vitamin B6,mg,Nam,19–30,Tăng cân,1.2,1.98
Vitamin B6,mg,Nam,19–30,Tăng cân,1.375,2.27
Vitamin B6,mg,Nam,19–30,Tăng cân,1.55,2.56
Vitamin B6,mg,Nam,19–30,Tăng cân,1.725,2.85
Vitamin B6,mg,Nam,19–30,Tăng cân,1.9,3.14
Vitamin B6,mg,Nam,31–50,Giảm cân,1.2,1.62
Vitamin B6,mg,Nam,31–50,Giảm cân,1.375,1.86
Vitamin B6,mg,Nam,31–50,Giảm cân,1.55,2.09
Vitamin B6,mg,Nam,31–50,Giảm cân,1.725,2.33
Vitamin B6,mg,Nam,31–50,Giảm cân,1.9,2.56
Vitamin B6,mg,Nam,31–50,Giữ cân,1.2,1.8
Vitamin B6,mg,Nam,31–50,Giữ cân,1.375,2.06
Vitamin B6,mg,Nam,31–50,Giữ cân,1.55,2.33
Vitamin B6,mg,Nam,31–50,Giữ cân,1.725,2.59
Vitamin B6,mg,Nam,31–50,Giữ cân,1.9,2.85
Vitamin B6,mg,Nam,31–50,Tăng cân,1.2,1.98
Vitamin B6,mg,Nam,31–50,Tăng cân,1.375,2.27
Vitamin B6,mg,Nam,31–50,Tăng cân,1.55,2.56
Vitamin B6,mg,Nam,31–50,Tăng cân,1.725,2.85
Vitamin B6,mg,Nam,31–50,Tăng cân,1.9,3.14
Vitamin B6,mg,Nam,51+,Giảm cân,1.2,1.62
Vitamin B6,mg,Nam,51+,Giảm cân,1.375,1.86
Vitamin B6,mg,Nam,51+,Giảm cân,1.55,2.09
Vitamin B6,mg,Nam,51+,Giảm cân,1.725,2.33
Vitamin B6,mg,Nam,51+,Giảm cân,1.9,2.56
Vitamin B6,mg,Nam,51+,Giữ cân,1.2,1.8
Vitamin B6,mg,Nam,51+,Giữ cân,1.375,2.06
Vitamin B6,mg,Nam,51+,Giữ cân,1.55,2.33
Vitamin B6,mg,Nam,51+,Giữ cân,1.725,2.59
Vitamin B6,mg,Nam,51+,Giữ cân,1.9,2.85
Vitamin B6,mg,Nam,51+,Tăng cân,1.2,1.98
Vitamin B6,mg,Nam,51+,Tăng cân,1.375,2.27
Vitamin B6,mg,Nam,51+,Tăng cân,1.55,2.56
Vitamin B6,mg,Nam,51+,Tăng cân,1.725,2.85
Vitamin B6,mg,Nam,51+,Tăng cân,1.9,3.14
Vitamin B6,mg,Nữ,19–30,Giảm cân,1.2,1.51
Vitamin B6,mg,Nữ,19–30,Giảm cân,1.375,1.73
Vitamin B6,mg,Nữ,19–30,Giảm cân,1.55,1.95
Vitamin B6,mg,Nữ,19–30,Giảm cân,1.725,2.17
Vitamin B6,mg,Nữ,19–30,Giảm cân,1.9,2.39
Vitamin B6,mg,Nữ,19–30,Giữ cân,1.2,1.68
Vitamin B6,mg,Nữ,19–30,Giữ cân,1.375,1.92
Vitamin B6,mg,Nữ,19–30,Giữ cân,1.55,2.17
Vitamin B6,mg,Nữ,19–30,Giữ cân,1.725,2.42
Vitamin B6,mg,Nữ,19–30,Giữ cân,1.9,2.66
Vitamin B6,mg,Nữ,19–30,Tăng cân,1.2,1.85
Vitamin B6,mg,Nữ,19–30,Tăng cân,1.375,2.12
Vitamin B6,mg,Nữ,19–30,Tăng cân,1.55,2.39
Vitamin B6,mg,Nữ,19–30,Tăng cân,1.725,2.66
Vitamin B6,mg,Nữ,19–30,Tăng cân,1.9,2.93
Vitamin B6,mg,Nữ,31–50,Giảm cân,1.2,1.51
Vitamin B6,mg,Nữ,31–50,Giảm cân,1.375,1.73
Vitamin B6,mg,Nữ,31–50,Giảm cân,1.55,1.95
Vitamin B6,mg,Nữ,31–50,Giảm cân,1.725,2.17
Vitamin B6,mg,Nữ,31–50,Giảm cân,1.9,2.39
Vitamin B6,mg,Nữ,31–50,Giữ cân,1.2,1.68
Vitamin B6,mg,Nữ,31–50,Giữ cân,1.375,1.92
Vitamin B6,mg,Nữ,31–50,Giữ cân,1.55,2.17
Vitamin B6,mg,Nữ,31–50,Giữ cân,1.725,2.42
Vitamin B6,mg,Nữ,31–50,Giữ cân,1.9,2.66
Vitamin B6,mg,Nữ,31–50,Tăng cân,1.2,1.85
Vitamin B6,mg,Nữ,31–50,Tăng cân,1.375,2.12
Vitamin B6,mg,Nữ,31–50,Tăng cân,1.55,2.39
Vitamin B6,mg,Nữ,31–50,Tăng cân,1.725,2.66
Vitamin B6,mg,Nữ,31–50,Tăng cân,1.9,2.93
Vitamin B6,mg,Nữ,51+,Giảm cân,1.2,1.51
Vitamin B6,mg,Nữ,51+,Giảm cân,1.375,1.73
Vitamin B6,mg,Nữ,51+,Giảm cân,1.55,1.95
Vitamin B6,mg,Nữ,51+,Giảm cân,1.725,2.17
Vitamin B6,mg,Nữ,51+,Giảm cân,1.9,2.39
Vitamin B6,mg,Nữ,51+,Giữ cân,1.2,1.68
Vitamin B6,mg,Nữ,51+,Giữ cân,1.375,1.92
Vitamin B6,mg,Nữ,51+,Giữ cân,1.55,2.17
Vitamin B6,mg,Nữ,51+,Giữ cân,1.725,2.42
Vitamin B6,mg,Nữ,51+,Giữ cân,1.9,2.66
Vitamin B6,mg,Nữ,51+,Tăng cân,1.2,1.85
Vitamin B6,mg,Nữ,51+,Tăng cân,1.375,2.12
Vitamin B6,mg,Nữ,51+,Tăng cân,1.55,2.39
Vitamin B6,mg,Nữ,51+,Tăng cân,1.725,2.66
Vitamin B6,mg,Nữ,51+,Tăng cân,1.9,2.93
Vitamin B7,µg,Nam,19–30,Giảm cân,1.2,32.4
Vitamin B7,µg,Nam,19–30,Giảm cân,1.375,37.12
Vitamin B7,µg,Nam,19–30,Giảm cân,1.55,41.85
Vitamin B7,µg,Nam,19–30,Giảm cân,1.725,46.58
Vitamin B7,µg,Nam,19–30,Giảm cân,1.9,51.3
Vitamin B7,µg,Nam,19–30,Giữ cân,1.2,36.0
Vitamin B7,µg,Nam,19–30,Giữ cân,1.375,41.25
Vitamin B7,µg,Nam,19–30,Giữ cân,1.55,46.5
Vitamin B7,µg,Nam,19–30,Giữ cân,1.725,51.75
Vitamin B7,µg,Nam,19–30,Giữ cân,1.9,57.0
Vitamin B7,µg,Nam,19–30,Tăng cân,1.2,39.6
Vitamin B7,µg,Nam,19–30,Tăng cân,1.375,45.38
Vitamin B7,µg,Nam,19–30,Tăng cân,1.55,51.15
Vitamin B7,µg,Nam,19–30,Tăng cân,1.725,56.93
Vitamin B7,µg,Nam,19–30,Tăng cân,1.9,62.7
Vitamin B7,µg,Nam,31–50,Giảm cân,1.2,32.4
Vitamin B7,µg,Nam,31–50,Giảm cân,1.375,37.12
Vitamin B7,µg,Nam,31–50,Giảm cân,1.55,41.85
Vitamin B7,µg,Nam,31–50,Giảm cân,1.725,46.58
Vitamin B7,µg,Nam,31–50,Giảm cân,1.9,51.3
Vitamin B7,µg,Nam,31–50,Giữ cân,1.2,36.0
Vitamin B7,µg,Nam,31–50,Giữ cân,1.375,41.25
Vitamin B7,µg,Nam,31–50,Giữ cân,1.55,46.5
Vitamin B7,µg,Nam,31–50,Giữ cân,1.725,51.75
Vitamin B7,µg,Nam,31–50,Giữ cân,1.9,57.0
Vitamin B7,µg,Nam,31–50,Tăng cân,1.2,39.6
Vitamin B7,µg,Nam,31–50,Tăng cân,1.375,45.38
Vitamin B7,µg,Nam,31–50,Tăng cân,1.55,51.15
Vitamin B7,µg,Nam,31–50,Tăng cân,1.725,56.93
Vitamin B7,µg,Nam,31–50,Tăng cân,1.9,62.7
Vitamin B7,µg,Nam,51+,Giảm cân,1.2,32.4
Vitamin B7,µg,Nam,51+,Giảm cân,1.375,37.12
Vitamin B7,µg,Nam,51+,Giảm cân,1.55,41.85
Vitamin B7,µg,Nam,51+,Giảm cân,1.725,46.58
Vitamin B7,µg,Nam,51+,Giảm cân,1.9,51.3
Vitamin B7,µg,Nam,51+,Giữ cân,1.2,36.0
Vitamin B7,µg,Nam,51+,Giữ cân,1.375,41.25
Vitamin B7,µg,Nam,51+,Giữ cân,1.55,46.5
Vitamin B7,µg,Nam,51+,Giữ cân,1.725,51.75
Vitamin B7,µg,Nam,51+,Giữ cân,1.9,57.0
Vitamin B7,µg,Nam,51+,Tăng cân,1.2,39.6
Vitamin B7,µg,Nam,51+,Tăng cân,1.375,45.38
Vitamin B7,µg,Nam,51+,Tăng cân,1.55,51.15
Vitamin B7,µg,Nam,51+,Tăng cân,1.725,56.93
Vitamin B7,µg,Nam,51+,Tăng cân,1.9,62.7
Vitamin B7,µg,Nữ,19–30,Giảm cân,1.2,32.4
Vitamin B7,µg,Nữ,19–30,Giảm cân,1.375,37.12
Vitamin B7,µg,Nữ,19–30,Giảm cân,1.55,41.85
Vitamin B7,µg,Nữ,19–30,Giảm cân,1.725,46.58
Vitamin B7,µg,Nữ,19–30,Giảm cân,1.9,51.3
Vitamin B7,µg,Nữ,19–30,Giữ cân,1.2,36.0
Vitamin B7,µg,Nữ,19–30,Giữ cân,1.375,41.25
Vitamin B7,µg,Nữ,19–30,Giữ cân,1.55,46.5
Vitamin B7,µg,Nữ,19–30,Giữ cân,1.725,51.75
Vitamin B7,µg,Nữ,19–30,Giữ cân,1.9,57.0
Vitamin B7,µg,Nữ,19–30,Tăng cân,1.2,39.6
Vitamin B7,µg,Nữ,19–30,Tăng cân,1.375,45.38
Vitamin B7,µg,Nữ,19–30,Tăng cân,1.55,51.15
Vitamin B7,µg,Nữ,19–30,Tăng cân,1.725,56.93
Vitamin B7,µg,Nữ,19–30,Tăng cân,1.9,62.7
Vitamin B7,µg,Nữ,31–50,Giảm cân,1.2,32.4
Vitamin B7,µg,Nữ,31–50,Giảm cân,1.375,37.12
Vitamin B7,µg,Nữ,31–50,Giảm cân,1.55,41.85
Vitamin B7,µg,Nữ,31–50,Giảm cân,1.725,46.58
Vitamin B7,µg,Nữ,31–50,Giảm cân,1.9,51.3
Vitamin B7,µg,Nữ,31–50,Giữ cân,1.2,36.0
Vitamin B7,µg,Nữ,31–50,Giữ cân,1.375,41.25
Vitamin B7,µg,Nữ,31–50,Giữ cân,1.55,46.5
Vitamin B7,µg,Nữ,31–50,Giữ cân,1.725,51.75
Vitamin B7,µg,Nữ,31–50,Giữ cân,1.9,57.0
Vitamin B7,µg,Nữ,31–50,Tăng cân,1.2,39.6
Vitamin B7,µg,Nữ,31–50,Tăng cân,1.375,45.38
Vitamin B7,µg,Nữ,31–50,Tăng cân,1.55,51.15
Vitamin B7,µg,Nữ,31–50,Tăng cân,1.725,56.93
Vitamin B7,µg,Nữ,31–50,Tăng cân,1.9,62.7
Vitamin B7,µg,Nữ,51+,Giảm cân,1.2,32.4
Vitamin B7,µg,Nữ,51+,Giảm cân,1.375,37.12
Vitamin B7,µg,Nữ,51+,Giảm cân,1.55,41.85
Vitamin B7,µg,Nữ,51+,Giảm cân,1.725,46.58
Vitamin B7,µg,Nữ,51+,Giảm cân,1.9,51.3
Vitamin B7,µg,Nữ,51+,Giữ cân,1.2,36.0
Vitamin B7,µg,Nữ,51+,Giữ cân,1.375,41.25
Vitamin B7,µg,Nữ,51+,Giữ cân,1.55,46.5
Vitamin B7,µg,Nữ,51+,Giữ cân,1.725,51.75
Vitamin B7,µg,Nữ,51+,Giữ cân,1.9,57.0
Vitamin B7,µg,Nữ,51+,Tăng cân,1.2,39.6
Vitamin B7,µg,Nữ,51+,Tăng cân,1.375,45.38
Vitamin B7,µg,Nữ,51+,Tăng cân,1.55,51.15
Vitamin B7,µg,Nữ,51+,Tăng cân,1.725,56.93
Vitamin B7,µg,Nữ,51+,Tăng cân,1.9,62.7
Vitamin B9,µg,Nam,19–30,Giảm cân,1.2,432.0
Vitamin B9,µg,Nam,19–30,Giảm cân,1.375,495.0
Vitamin B9,µg,Nam,19–30,Giảm cân,1.55,558.0
Vitamin B9,µg,Nam,19–30,Giảm cân,1.725,621.0
Vitamin B9,µg,Nam,19–30,Giảm cân,1.9,684.0
Vitamin B9,µg,Nam,19–30,Giữ cân,1.2,480.0
Vitamin B9,µg,Nam,19–30,Giữ cân,1.375,550.0
Vitamin B9,µg,Nam,19–30,Giữ cân,1.55,620.0
Vitamin B9,µg,Nam,19–30,Giữ cân,1.725,690.0
Vitamin B9,µg,Nam,19–30,Giữ cân,1.9,760.0
Vitamin B9,µg,Nam,19–30,Tăng cân,1.2,528.0
Vitamin B9,µg,Nam,19–30,Tăng cân,1.375,605.0
Vitamin B9,µg,Nam,19–30,Tăng cân,1.55,682.0
Vitamin B9,µg,Nam,19–30,Tăng cân,1.725,759.0
Vitamin B9,µg,Nam,19–30,Tăng cân,1.9,836.0
Vitamin B9,µg,Nam,31–50,Giảm cân,1.2,432.0
Vitamin B9,µg,Nam,31–50,Giảm cân,1.375,495.0
Vitamin B9,µg,Nam,31–50,Giảm cân,1.55,558.0
Vitamin B9,µg,Nam,31–50,Giảm cân,1.725,621.0
Vitamin B9,µg,Nam,31–50,Giảm cân,1.9,684.0
Vitamin B9,µg,Nam,31–50,Giữ cân,1.2,480.0
Vitamin B9,µg,Nam,31–50,Giữ cân,1.375,550.0
Vitamin B9,µg,Nam,31–50,Giữ cân,1.55,620.0
Vitamin B9,µg,Nam,31–50,Giữ cân,1.725,690.0
Vitamin B9,µg,Nam,31–50,Giữ cân,1.9,760.0
Vitamin B9,µg,Nam,31–50,Tăng cân,1.2,528.0
Vitamin B9,µg,Nam,31–50,Tăng cân,1.375,605.0
Vitamin B9,µg,Nam,31–50,Tăng cân,1.55,682.0
Vitamin B9,µg,Nam,31–50,Tăng cân,1.725,759.0
Vitamin B9,µg,Nam,31–50,Tăng cân,1.9,836.0
Vitamin B9,µg,Nam,51+,Giảm cân,1.2,432.0
Vitamin B9,µg,Nam,51+,Giảm cân,1.375,495.0
Vitamin B9,µg,Nam,51+,Giảm cân,1.55,558.0
Vitamin B9,µg,Nam,51+,Giảm cân,1.725,621.0
Vitamin B9,µg,Nam,51+,Giảm cân,1.9,684.0
Vitamin B9,µg,Nam,51+,Giữ cân,1.2,480.0
Vitamin B9,µg,Nam,51+,Giữ cân,1.375,550.0
Vitamin B9,µg,Nam,51+,Giữ cân,1.55,620.0
Vitamin B9,µg,Nam,51+,Giữ cân,1.725,690.0
Vitamin B9,µg,Nam,51+,Giữ cân,1.9,760.0
Vitamin B9,µg,Nam,51+,Tăng cân,1.2,528.0
Vitamin B9,µg,Nam,51+,Tăng cân,1.375,605.0
Vitamin B9,µg,Nam,51+,Tăng cân,1.55,682.0
Vitamin B9,µg,Nam,51+,Tăng cân,1.725,759.0
Vitamin B9,µg,Nam,51+,Tăng cân,1.9,836.0
Vitamin B9,µg,Nữ,19–30,Giảm cân,1.2,432.0
Vitamin B9,µg,Nữ,19–30,Giảm cân,1.375,495.0
Vitamin B9,µg,Nữ,19–30,Giảm cân,1.55,558.0
Vitamin B9,µg,Nữ,19–30,Giảm cân,1.725,621.0
Vitamin B9,µg,Nữ,19–30,Giảm cân,1.9,684.0
Vitamin B9,µg,Nữ,19–30,Giữ cân,1.2,480.0
Vitamin B9,µg,Nữ,19–30,Giữ cân,1.375,550.0
Vitamin B9,µg,Nữ,19–30,Giữ cân,1.55,620.0
Vitamin B9,µg,Nữ,19–30,Giữ cân,1.725,690.0
Vitamin B9,µg,Nữ,19–30,Giữ cân,1.9,760.0
Vitamin B9,µg,Nữ,19–30,Tăng cân,1.2,528.0
Vitamin B9,µg,Nữ,19–30,Tăng cân,1.375,605.0
Vitamin B9,µg,Nữ,19–30,Tăng cân,1.55,682.0
Vitamin B9,µg,Nữ,19–30,Tăng cân,1.725,759.0
Vitamin B9,µg,Nữ,19–30,Tăng cân,1.9,836.0
Vitamin B9,µg,Nữ,31–50,Giảm cân,1.2,432.0
Vitamin B9,µg,Nữ,31–50,Giảm cân,1.375,495.0
Vitamin B9,µg,Nữ,31–50,Giảm cân,1.55,558.0
Vitamin B9,µg,Nữ,31–50,Giảm cân,1.725,621.0
Vitamin B9,µg,Nữ,31–50,Giảm cân,1.9,684.0
Vitamin B9,µg,Nữ,31–50,Giữ cân,1.2,480.0
Vitamin B9,µg,Nữ,31–50,Giữ cân,1.375,550.0
Vitamin B9,µg,Nữ,31–50,Giữ cân,1.55,620.0
Vitamin B9,µg,Nữ,31–50,Giữ cân,1.725,690.0
Vitamin B9,µg,Nữ,31–50,Giữ cân,1.9,760.0
Vitamin B9,µg,Nữ,31–50,Tăng cân,1.2,528.0
Vitamin B9,µg,Nữ,31–50,Tăng cân,1.375,605.0
Vitamin B9,µg,Nữ,31–50,Tăng cân,1.55,682.0
Vitamin B9,µg,Nữ,31–50,Tăng cân,1.725,759.0
Vitamin B9,µg,Nữ,31–50,Tăng cân,1.9,836.0
Vitamin B9,µg,Nữ,51+,Giảm cân,1.2,432.0
Vitamin B9,µg,Nữ,51+,Giảm cân,1.375,495.0
Vitamin B9,µg,Nữ,51+,Giảm cân,1.55,558.0
Vitamin B9,µg,Nữ,51+,Giảm cân,1.725,621.0
Vitamin B9,µg,Nữ,51+,Giảm cân,1.9,684.0
Vitamin B9,µg,Nữ,51+,Giữ cân,1.2,480.0
Vitamin B9,µg,Nữ,51+,Giữ cân,1.375,550.0
Vitamin B9,µg,Nữ,51+,Giữ cân,1.55,620.0
Vitamin B9,µg,Nữ,51+,Giữ cân,1.725,690.0
Vitamin B9,µg,Nữ,51+,Giữ cân,1.9,760.0
Vitamin B9,µg,Nữ,51+,Tăng cân,1.2,528.0
Vitamin B9,µg,Nữ,51+,Tăng cân,1.375,605.0
Vitamin B9,µg,Nữ,51+,Tăng cân,1.55,682.0
Vitamin B9,µg,Nữ,51+,Tăng cân,1.725,759.0
Vitamin B9,µg,Nữ,51+,Tăng cân,1.9,836.0
Vitamin B12,µg,Nam,19–30,Giảm cân,1.2,2.59
Vitamin B12,µg,Nam,19–30,Giảm cân,1.375,2.97
Vitamin B12,µg,Nam,19–30,Giảm cân,1.55,3.35
Vitamin B12,µg,Nam,19–30,Giảm cân,1.725,3.73
Vitamin B12,µg,Nam,19–30,Giảm cân,1.9,4.1
Vitamin B12,µg,Nam,19–30,Giữ cân,1.2,2.88
Vitamin B12,µg,Nam,19–30,Giữ cân,1.375,3.3
Vitamin B12,µg,Nam,19–30,Giữ cân,1.55,3.72
Vitamin B12,µg,Nam,19–30,Giữ cân,1.725,4.14
Vitamin B12,µg,Nam,19–30,Giữ cân,1.9,4.56
Vitamin B12,µg,Nam,19–30,Tăng cân,1.2,3.17
Vitamin B12,µg,Nam,19–30,Tăng cân,1.375,3.63
Vitamin B12,µg,Nam,19–30,Tăng cân,1.55,4.09
Vitamin B12,µg,Nam,19–30,Tăng cân,1.725,4.55
Vitamin B12,µg,Nam,19–30,Tăng cân,1.9,5.02
Vitamin B12,µg,Nam,31–50,Giảm cân,1.2,2.59
Vitamin B12,µg,Nam,31–50,Giảm cân,1.375,2.97
Vitamin B12,µg,Nam,31–50,Giảm cân,1.55,3.35
Vitamin B12,µg,Nam,31–50,Giảm cân,1.725,3.73
Vitamin B12,µg,Nam,31–50,Giảm cân,1.9,4.1
Vitamin B12,µg,Nam,31–50,Giữ cân,1.2,2.88
Vitamin B12,µg,Nam,31–50,Giữ cân,1.375,3.3
Vitamin B12,µg,Nam,31–50,Giữ cân,1.55,3.72
Vitamin B12,µg,Nam,31–50,Giữ cân,1.725,4.14
Vitamin B12,µg,Nam,31–50,Giữ cân,1.9,4.56
Vitamin B12,µg,Nam,31–50,Tăng cân,1.2,3.17
Vitamin B12,µg,Nam,31–50,Tăng cân,1.375,3.63
Vitamin B12,µg,Nam,31–50,Tăng cân,1.55,4.09
Vitamin B12,µg,Nam,31–50,Tăng cân,1.725,4.55
Vitamin B12,µg,Nam,31–50,Tăng cân,1.9,5.02
Vitamin B12,µg,Nam,51+,Giảm cân,1.2,2.59
Vitamin B12,µg,Nam,51+,Giảm cân,1.375,2.97
Vitamin B12,µg,Nam,51+,Giảm cân,1.55,3.35
Vitamin B12,µg,Nam,51+,Giảm cân,1.725,3.73
Vitamin B12,µg,Nam,51+,Giảm cân,1.9,4.1
Vitamin B12,µg,Nam,51+,Giữ cân,1.2,2.88
Vitamin B12,µg,Nam,51+,Giữ cân,1.375,3.3
Vitamin B12,µg,Nam,51+,Giữ cân,1.55,3.72
Vitamin B12,µg,Nam,51+,Giữ cân,1.725,4.14
Vitamin B12,µg,Nam,51+,Giữ cân,1.9,4.56
Vitamin B12,µg,Nam,51+,Tăng cân,1.2,3.17
Vitamin B12,µg,Nam,51+,Tăng cân,1.375,3.63
Vitamin B12,µg,Nam,51+,Tăng cân,1.55,4.09
Vitamin B12,µg,Nam,51+,Tăng cân,1.725,4.55
Vitamin B12,µg,Nam,51+,Tăng cân,1.9,5.02
Vitamin B12,µg,Nữ,19–30,Giảm cân,1.2,2.59
Vitamin B12,µg,Nữ,19–30,Giảm cân,1.375,2.97
Vitamin B12,µg,Nữ,19–30,Giảm cân,1.55,3.35
Vitamin B12,µg,Nữ,19–30,Giảm cân,1.725,3.73
Vitamin B12,µg,Nữ,19–30,Giảm cân,1.9,4.1
Vitamin B12,µg,Nữ,19–30,Giữ cân,1.2,2.88
Vitamin B12,µg,Nữ,19–30,Giữ cân,1.375,3.3
Vitamin B12,µg,Nữ,19–30,Giữ cân,1.55,3.72
Vitamin B12,µg,Nữ,19–30,Giữ cân,1.725,4.14
Vitamin B12,µg,Nữ,19–30,Giữ cân,1.9,4.56
Vitamin B12,µg,Nữ,19–30,Tăng cân,1.2,3.17
Vitamin B12,µg,Nữ,19–30,Tăng cân,1.375,3.63
Vitamin B12,µg,Nữ,19–30,Tăng cân,1.55,4.09
Vitamin B12,µg,Nữ,19–30,Tăng cân,1.725,4.55
Vitamin B12,µg,Nữ,19–30,Tăng cân,1.9,5.02
Vitamin B12,µg,Nữ,31–50,Giảm cân,1.2,2.59
Vitamin B12,µg,Nữ,31–50,Giảm cân,1.375,2.97
Vitamin B12,µg,Nữ,31–50,Giảm cân,1.55,3.35
Vitamin B12,µg,Nữ,31–50,Giảm cân,1.725,3.73
Vitamin B12,µg,Nữ,31–50,Giảm cân,1.9,4.1
Vitamin B12,µg,Nữ,31–50,Giữ cân,1.2,2.88
Vitamin B12,µg,Nữ,31–50,Giữ cân,1.375,3.3
Vitamin B12,µg,Nữ,31–50,Giữ cân,1.55,3.72
Vitamin B12,µg,Nữ,31–50,Giữ cân,1.725,4.14
Vitamin B12,µg,Nữ,31–50,Giữ cân,1.9,4.56
Vitamin B12,µg,Nữ,31–50,Tăng cân,1.2,3.17
Vitamin B12,µg,Nữ,31–50,Tăng cân,1.375,3.63
Vitamin B12,µg,Nữ,31–50,Tăng cân,1.55,4.09
Vitamin B12,µg,Nữ,31–50,Tăng cân,1.725,4.55
Vitamin B12,µg,Nữ,31–50,Tăng cân,1.9,5.02
Vitamin B12,µg,Nữ,51+,Giảm cân,1.2,2.59
Vitamin B12,µg,Nữ,51+,Giảm cân,1.375,2.97
Vitamin B12,µg,Nữ,51+,Giảm cân,1.55,3.35
Vitamin B12,µg,Nữ,51+,Giảm cân,1.725,3.73
Vitamin B12,µg,Nữ,51+,Giảm cân,1.9,4.1
Vitamin B12,µg,Nữ,51+,Giữ cân,1.2,2.88
Vitamin B12,µg,Nữ,51+,Giữ cân,1.375,3.3
Vitamin B12,µg,Nữ,51+,Giữ cân,1.55,3.72
Vitamin B12,µg,Nữ,51+,Giữ cân,1.725,4.14
Vitamin B12,µg,Nữ,51+,Giữ cân,1.9,4.56
Vitamin B12,µg,Nữ,51+,Tăng cân,1.2,3.17
Vitamin B12,µg,Nữ,51+,Tăng cân,1.375,3.63
Vitamin B12,µg,Nữ,51+,Tăng cân,1.55,4.09
Vitamin B12,µg,Nữ,51+,Tăng cân,1.725,4.55
Vitamin B12,µg,Nữ,51+,Tăng cân,1.9,5.02
Canxi (Ca),mg,Nam,19–30,Giảm cân,1.2,1188.0
Canxi (Ca),mg,Nam,19–30,Giảm cân,1.375,1361.25
Canxi (Ca),mg,Nam,19–30,Giảm cân,1.55,1534.5
Canxi (Ca),mg,Nam,19–30,Giảm cân,1.725,1707.75
Canxi (Ca),mg,Nam,19–30,Giảm cân,1.9,1881.0
Canxi (Ca),mg,Nam,19–30,Giữ cân,1.2,1320.0
Canxi (Ca),mg,Nam,19–30,Giữ cân,1.375,1512.5
Canxi (Ca),mg,Nam,19–30,Giữ cân,1.55,1705.0
Canxi (Ca),mg,Nam,19–30,Giữ cân,1.725,1897.5
Canxi (Ca),mg,Nam,19–30,Giữ cân,1.9,2090.0
Canxi (Ca),mg,Nam,19–30,Tăng cân,1.2,1452.0
Canxi (Ca),mg,Nam,19–30,Tăng cân,1.375,1663.75
Canxi (Ca),mg,Nam,19–30,Tăng cân,1.55,1875.5
Canxi (Ca),mg,Nam,19–30,Tăng cân,1.725,2087.25
Canxi (Ca),mg,Nam,19–30,Tăng cân,1.9,2299.0
Canxi (Ca),mg,Nam,31–50,Giảm cân,1.2,1188.0
Canxi (Ca),mg,Nam,31–50,Giảm cân,1.375,1361.25
Canxi (Ca),mg,Nam,31–50,Giảm cân,1.55,1534.5
Canxi (Ca),mg,Nam,31–50,Giảm cân,1.725,1707.75
Canxi (Ca),mg,Nam,31–50,Giảm cân,1.9,1881.0
Canxi (Ca),mg,Nam,31–50,Giữ cân,1.2,1320.0
Canxi (Ca),mg,Nam,31–50,Giữ cân,1.375,1512.5
Canxi (Ca),mg,Nam,31–50,Giữ cân,1.55,1705.0
Canxi (Ca),mg,Nam,31–50,Giữ cân,1.725,1897.5
Canxi (Ca),mg,Nam,31–50,Giữ cân,1.9,2090.0
Canxi (Ca),mg,Nam,31–50,Tăng cân,1.2,1452.0
Canxi (Ca),mg,Nam,31–50,Tăng cân,1.375,1663.75
Canxi (Ca),mg,Nam,31–50,Tăng cân,1.55,1875.5
Canxi (Ca),mg,Nam,31–50,Tăng cân,1.725,2087.25
Canxi (Ca),mg,Nam,31–50,Tăng cân,1.9,2299.0
Canxi (Ca),mg,Nam,51+,Giảm cân,1.2,1188.0
Canxi (Ca),mg,Nam,51+,Giảm cân,1.375,1361.25
Canxi (Ca),mg,Nam,51+,Giảm cân,1.55,1534.5
Canxi (Ca),mg,Nam,51+,Giảm cân,1.725,1707.75
Canxi (Ca),mg,Nam,51+,Giảm cân,1.9,1881.0
Canxi (Ca),mg,Nam,51+,Giữ cân,1.2,1320.0
Canxi (Ca),mg,Nam,51+,Giữ cân,1.375,1512.5
Canxi (Ca),mg,Nam,51+,Giữ cân,1.55,1705.0
Canxi (Ca),mg,Nam,51+,Giữ cân,1.725,1897.5
Canxi (Ca),mg,Nam,51+,Giữ cân,1.9,2090.0
Canxi (Ca),mg,Nam,51+,Tăng cân,1.2,1452.0
Canxi (Ca),mg,Nam,51+,Tăng cân,1.375,1663.75
Canxi (Ca),mg,Nam,51+,Tăng cân,1.55,1875.5
Canxi (Ca),mg,Nam,51+,Tăng cân,1.725,2087.25
Canxi (Ca),mg,Nam,51+,Tăng cân,1.9,2299.0
Canxi (Ca),mg,Nữ,19–30,Giảm cân,1.2,1188.0
Canxi (Ca),mg,Nữ,19–30,Giảm cân,1.375,1361.25
Canxi (Ca),mg,Nữ,19–30,Giảm cân,1.55,1534.5
Canxi (Ca),mg,Nữ,19–30,Giảm cân,1.725,1707.75
Canxi (Ca),mg,Nữ,19–30,Giảm cân,1.9,1881.0
Canxi (Ca),mg,Nữ,19–30,Giữ cân,1.2,1320.0
Canxi (Ca),mg,Nữ,19–30,Giữ cân,1.375,1512.5
Canxi (Ca),mg,Nữ,19–30,Giữ cân,1.55,1705.0
